
8.1. Contaminación, ruidos
Población que sufre problemas de contaminación y otros problemas  ambientales por CCAA y periodo.
Unidades: % de población total

,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,
Total Nacional,11,8,9,9,10,1,8,2,10,0,10,3,10,2,9,8,8,0,8,1,10,8,13,6,13,0,15,7,16,5,16,8,15,8,
Andalucía,12,6,10,1,10,4,9,2,7,8,7,4,10,4,9,1,9,1,9,2,10,0,13,3,10,5,15,5,15,4,13,6,15,5,
Aragón,9,0,5,9,5,3,6,8,5,7,5,0,4,0,6,9,1,7,1,8,4,9,5,4,7,6,17,8,11,8,17,0,14,9,
Asturias, Principado de,13,8,15,5,10,6,7,7,13,3,9,0,5,8,6,2,3,6,10,4,7,2,12,2,10,7,16,3,15,8,14,1,10,1,
Balears, Illes,12,1,19,7,9,2,15,2,13,6,15,9,8,9,9,4,5,7,8,0,10,5,10,4,16,5,17,6,21,0,21,7,16,7,
Canarias,16,8,9,2,10,7,13,5,15,8,19,7,11,6,12,6,11,5,11,2,6,6,15,1,15,1,20,3,16,1,19,3,18,4,
Cantabria,4,4,5,6,2,6,0,4,5,3,7,3,4,3,7,2,9,3,9,5,12,9,13,3,9,0,10,6,11,7,12,2,18,8,
Castilla y León,7,9,4,3,5,4,3,2,3,2,3,3,2,5,3,4,2,9,7,4,7,3,8,6,8,1,11,2,12,8,12,0,11,1,
Castilla - La Mancha,3,1,1,8,7,0,3,1,4,2,3,8,1,7,4,9,1,8,6,9,4,5,8,1,8,1,11,6,8,7,6,9,6,4,
Cataluña,13,7,10,6,8,6,7,7,7,1,8,0,9,6,10,7,10,1,4,7,14,9,18,7,16,9,15,7,15,8,19,7,18,0,
Comunitat Valenciana,9,3,6,9,10,0,10,6,16,7,15,2,14,0,8,6,10,2,10,5,14,7,14,8,20,0,17,7,19,9,22,0,18,6,
Extremadura,6,3,4,0,0,9,4,9,8,3,6,7,9,0,6,9,1,4,6,5,8,1,9,2,5,1,8,3,5,3,9,4,12,4,
Galicia,6,2,2,0,4,5,7,2,9,2,8,3,11,4,8,3,7,3,8,1,8,9,12,9,9,7,14,5,12,3,13,2,12,2,
Madrid, Comunidad de,16,2,18,5,18,5,9,0,15,9,18,3,16,3,17,2,8,8,9,9,10,5,17,0,15,0,19,0,23,8,21,2,20,7,
Murcia, Región de,17,0,9,4,8,2,14,0,15,5,10,9,13,0,11,5,8,8,6,0,12,1,6,4,6,3,16,7,22,3,16,7,15,4,
Navarra, Comunidad Foral de,8,0,9,3,15,8,1,5,5,0,9,4,8,6,4,2,4,0,5,8,2,6,3,9,4,7,5,8,12,2,16,4,8,6,
País Vasco,11,0,10,4,12,7,3,7,3,6,4,3,6,6,9,0,9,1,11,6,14,8,13,3,16,0,14,2,16,1,17,9,11,8,
Rioja, La,7,3,6,7,12,1,5,7,5,4,3,9,5,6,2,3,2,7,3,9,4,7,9,3,8,5,8,0,13,3,7,0,9,0,
Ceuta,10,8,6,2,4,2,5,0,32,8,33,8,34,2,23,5,10,5,4,7,15,7,18,9,14,3,36,4,28,9,16,2,30,8,
Melilla,26,2,21,1,12,8,6,6,20,8,20,3,13,7,10,8,12,4,3,2,27,5,17,7,13,3,23,6,42,8,30,3,37,7,
Notas:
Fuente: Encuesta de Condiciones de Vida. INE
