
1.1. Condiciones económicas
Desigualdad (S80/S20). Serie 2008-2020 por CCAA y periodo.
Unidades: número

,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,
Total Nacional,5,8,5,9,6,0,6,6,6,6,6,9,6,8,6,3,6,5,6,3,6,2,5,9,5,6,
Andalucía,5,3,6,1,6,5,6,9,7,2,7,0,7,1,6,6,6,2,7,3,6,2,6,0,6,0,
Aragón,4,7,4,7,4,3,4,6,5,1,5,4,6,0,5,6,5,3,5,3,4,2,4,4,4,7,
Asturias, Principado de,7,3,7,8,4,8,5,5,5,1,5,2,6,3,5,1,5,2,4,9,4,7,5,1,4,9,
Balears, Illes,4,6,4,8,5,5,8,2,6,1,9,1,8,9,7,1,6,9,9,2,6,9,6,3,5,9,
Canarias,6,9,5,3,7,0,7,0,8,8,10,1,7,7,7,0,7,1,6,8,6,7,6,3,5,6,
Cantabria,5,3,5,2,5,3,4,9,4,8,4,3,4,8,5,2,5,3,7,2,5,3,5,7,4,8,
Castilla y León,4,5,4,5,4,8,4,7,5,1,5,6,6,2,5,2,5,0,4,9,5,2,5,1,4,5,
Castilla - La Mancha,4,8,5,5,6,6,6,3,6,4,6,7,6,2,6,5,6,8,5,7,5,8,4,9,5,1,
Cataluña,6,2,5,6,5,2,5,7,5,6,6,1,6,5,5,7,6,2,5,6,6,1,5,8,5,2,
Comunitat Valenciana,6,6,5,6,5,6,6,6,6,0,6,4,5,8,6,5,6,7,6,0,6,2,5,3,5,7,
Extremadura,4,5,4,8,4,8,5,9,5,4,5,8,5,7,5,7,6,3,5,5,5,6,5,6,5,0,
Galicia,5,3,5,2,5,4,5,8,5,5,5,5,5,0,4,8,5,4,5,0,5,0,4,6,4,6,
Madrid, Comunidad de,5,8,6,5,6,3,7,7,7,2,6,9,6,5,6,1,6,5,6,1,5,9,6,3,5,6,
Murcia, Región de,4,7,4,7,5,9,5,6,5,9,6,6,6,1,6,5,5,1,4,7,5,8,5,7,5,1,
Navarra, Comunidad Foral de,4,5,3,9,4,1,4,4,4,6,4,8,4,9,4,5,4,8,4,7,5,3,4,7,4,2,
País Vasco,4,8,5,3,5,1,5,1,5,0,5,4,5,2,5,2,6,5,6,3,6,1,5,2,4,8,
Rioja, La,4,7,5,0,5,7,4,5,4,6,5,5,6,4,6,8,5,9,6,2,5,5,5,1,4,3,
Ceuta,10,7,11,5,10,3,11,5,6,3,7,1,9,2,10,9,10,8,8,1,8,3,15,0,10,9,
Melilla,15,0,13,9,9,1,7,1,8,2,7,4,10,1,10,1,5,4,10,7,7,6,9,9,6,4,
Notas:
Fuente: Encuesta de Condiciones de Vida. INE
